Currency,rates
AED,3.941918
AFN,95.197176
ALL,117.605615
AMD,420.589307
ANG,1.924874
AOA,540.674539
ARS,193.2914
AUD,1.554225
AWG,1.931787
AZN,1.823158
BAM,1.955101
BBD,2.156476
BDT,111.824018
BGN,1.955569
BHD,0.40466
BIF,2214.245591
BMD,1.073215
BND,1.423789
BOB,7.380115
BRL,5.640069
BSD,1.067987
BTC,6.2413727e-05
BTN,87.979306
BWP,13.640352
BYN,2.696382
BYR,21035.013226
BZD,2.152877
CAD,1.437094
CDF,2175.406392
CHF,0.989129
CLF,0.032501
CLP,896.810853
CNY,7.264486
COP,5205.672095
CRC,629.90227
CUC,1.073215
CUP,28.440196
CVE,110.223401
CZK,23.999662
DJF,190.136469
DKK,7.437262
DOP,60.371215
DZD,146.897054
EGP,29.614832
ERN,16.098224
ETB,57.261089
EUR,1.0
FJD,2.341796
FKP,0.879481
GBP,0.881989
GEL,2.881644
GGP,0.879481
GHS,11.214368
GIP,0.879481
GMD,66.539519
GNF,9204.626288
GTQ,8.378699
GYD,223.575621
HKD,8.379395
HNL,26.352055
HRK,7.55779
HTG,159.140905
HUF,396.467183
IDR,16734.640879
ILS,3.724324
IMP,0.879481
INR,88.291244
IQD,1558.841681
IRR,44967.706906
ISK,154.510451
JEP,0.879481
JMD,162.82255
JOD,0.761229
JPY,141.452943
KES,132.058808
KGS,91.953076
KHR,4400.380265
KMF,496.845036
KPW,965.790118
KRW,1329.461153
KWD,0.328382
KYD,0.889964
KZT,494.13351
LAK,18254.910458
LBP,1614.890528
LKR,392.503666
LRD,165.814313
LSL,18.384808
LTL,3.168925
LVL,0.649177
LYD,5.136314
MAD,10.982743
MDL,20.484969
MGA,4853.428279
MKD,61.505799
MMK,2242.85683
MNT,3704.079795
MOP,8.587899
MRO,383.137556
MUR,46.898957
MVR,16.526443
MWK,1096.271259
MXN,20.523413
MYR,4.695312
MZN,68.503228
NAD,18.384519
NGN,483.000687
NIO,38.995555
NOK,10.64449
NPR,140.765874
NZD,1.684384
OMR,0.413209
PAB,1.067992
PEN,4.049291
PGK,3.763402
PHP,58.831484
PKR,243.806186
PLN,4.693509
PYG,7826.88254
QAR,3.907568
RON,4.932385
RSD,117.372125
RUB,75.033829
RWF,1143.37848
SAR,4.031518
SBD,8.899116
SCR,14.391749
SDG,615.485743
SEK,11.166479
SGD,1.428937
SHP,1.478244
SLE,20.502537
SLL,20294.495307
SOS,610.139406
SRD,34.133604
STD,22213.38287
SVC,9.345473
SYP,2695.762265
SZL,18.184937
THB,35.888147
TJS,10.888641
TMT,3.756252
TND,3.363497
TOP,2.525704
TRY,20.158202
TTD,7.249064
TWD,32.668881
TZS,2508.634645
UAH,39.251886
UGX,3960.305351
USD,1.073215
UYU,42.593123
UZS,12052.475153
VEF,1990197.179198
VES,19.716789
VND,25166.890824
VUV,125.923611
WST,2.889821
XAF,655.70953
XAG,0.045467
XAU,0.000573
XCD,2.900417
XDR,0.805296
XOF,655.703423
XPF,120.811737
YER,268.624
ZAR,18.175486
ZMK,9660.229764
ZMW,19.539635
ZWL,345.574779
